label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link ,Comments,,,,,,,,
advisoryID,TXP,The unique ID of the advisory entity corresponding to this observation.,AgriAdvisory,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory",LocaleDesc,,,1,0,,,,,,,,,,
observationDateTime,TP,Last reported time of observation.,"LandParcel,
AgriAdvisory","DateTime, ValueDescriptor",,,1,0,,,,,,,,,,
cropNameCommon,TXP,The common/local name of the crop species corresponding to the observation.,"CropCondition,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
cropCodeICC,TXP,The unique code assigned for the crop species as per the ICC (International Crop Classification) of FAO (Food and Agicultural Organisation).,"CropCondition,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
cropVarietyName,TXP,The variations within the plant species either naturally or developed in research station.,"CropCondition,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,villageName,"ALLAPADU,",'':<villageName>
cropSeason,TXP,"The season in which the crop species is planted and harvested. ENUM [Kharif, Rabi, Zaid].","CropCondition,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,surveyExtent,"2,",'':<surveyExtent>
season,TXP,"Represents specific time of the year that has distinct weather patterns and conditions, such as summer, autumn (fall), etc.","Weather,
CropCondition,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory","Text,
Text-list,
ValueDescriptor",,,1,1,,,,,,,,,,
fileFormat,TXP,Format of the media file corresponding to this observation.,"AgriAdvisory,
ConsentArtifact","Text,
Text-list,
ValueDescriptor",,,1,1,,,,,,,,,,
advisoryNature,TXP,The nature of advisory corresponding to this observation.,AgriAdvisory,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
advisoryChannel,TXP,The channel(s) for communicating the advisory information to reach a larger group of people. ,AgriAdvisory,"Text,
Text-list,
ValueDescriptor",,,0,0,,,,,,,,,,
natureOfProblem,TXP,"The problem for which the advisory has been issued to the people such as flood, cyclone, insects attack, diseases, etc.",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
weatherSummary,TXP,A brief on how the weather has been in the past and/or is to be in the near future and/or is to prevail for the current day.,AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
generalAdvisory,TXP,"A general advisory to the farmers, for the cultivation of crops in regards to the conditions of weather, soil ,land etc. It may include warnings of potential catastrophical events.   ",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
smsAdvisory,TXP,The advisory which has been communicated to farmers via messaging (SMS),AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
technicalAdvisory,TXP,"A detailed professional advisory to the farmers, for the cultivation of a specific crop or rearing of livestock or other agricultural practice corresponding to this observation.",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
cropCode ,TXP,A unique code for the crop species corresponding to this observation,"CropCondition,
AgriAdvisory","Text,
ValueDescriptor",,,1,0,,,,,,,,,,
regionalLangID,TXP,The unique ID representing the regional language of the location corresponding to this observation.,AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
regionalLangName,TXP,The name of the regional language corresponding to this observation.,AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
weatherSummaryRegional,TXP,A brief provided in the regional language on how the weather has been in the past and/or is to be in the near future and/or is to prevail for the current day.,AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
generalAdvisoryRegional,TXP,"A general advisory, provided in the regional language, to the farmers for the cultivation of crops in regards to the conditions of weather, soil ,land etc. It may include warnings of potential catastrophical events.   ",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
smsAdvisoryRegional,TXP,"The advisory which has been communicated to farmers in their regional language, via messaging (SMS)",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
technicalAdvisoryRegional,TXP,"A detailed professional advisory, provided in the regional language, to the farmers, for the cultivation of a specific crop or rearing of livestock or other agricultural practice corresponding to this observation.",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
agriculturalCategory,TXP,"The name of the agricultural category corresponding to this observation. For eg., horticulture, livestock, fisheries, etc.",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,,,,,,,,,,
commodityName,TXP,The  name of the commodity corresponding to this observation.,"DomesticPriceInfo,
AgriAdvisory","Text, ValueDescriptor",,,1,0,"https://www.fao.org/3/w3240e/w3240e06.htm#:~:text=The%20term%20'commodity'%20is%20commonly,%2C%20beef%2C%20cotton%20and%20rubber.",,,,,,,,,
commodityCode,TXP,The unique code of the commodity corresponding to this observation.,"DomesticPriceInfo,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"Farmer,
OtherAgroChemical,
AgriAdvisory",PersonnelDesc,,,1,0,,,,,,,,,,
validFrom,TP,The instance from which an official report/document or consent or service corresponding to this observation is valid.,"ConsentArtifact,
AgriAdvisory","Text, ValueDescriptor",,consentIssual,1,0,,,,,,,,,,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.","ConsentArtifact,
AgriAdvisory","Text, ValueDescriptor",,consentExpiry,1,0,,,,,,,,,,
feedback,TXP,The opinions or evaluations of an individual or group about an entity or service corresponding to this observation,"FarmerCollective,
AgriAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation,"AgriMarket,
AgriAdvisory",ContactPointDesc,,,1,0,,,,,,,,,,
